Company Name,Industry Sector,Company Size,Service Quality Rating,Pricing Satisfaction,Customer Support Rating,Number of Customer Engagement,Customer Engagement Score,Competitive Offers Encountered ,Contractual Term Length (Months),Market Trend Impact,Customer Churn Status,Customer Age Group,Customer Gender,PIC
Hytera X Sdn Bhd,Technology,7,4,5,4,13,7,Yes,12,Neutral,Yes,25 - 34,Prefer Not To Say,Aisyah
Klinik Doktor Pergigian Low,Dental,3,3,4,4,5,7,Yes,12,Neutral,Yes,25 - 34,Prefer Not To Say,Aisyah
Pro global empire sdn bhd,Technology,9,4,5,4,5,7,Yes,12,Neutral,Yes,25 - 34,Prefer Not To Say,Aisyah
Aleyya Sdn Bhd,wholesaler,3,4,4,4,5,7,Yes,12,Neutral,Yes,35 - 44,Prefer Not To Say,Aisyah
Jeppters ,Technology,3,3,5,4,6,7,Yes,12,Neutral,Yes,25 - 34,Prefer Not To Say,Aisyah
BMP ENGINEERING,Machinery & equipment,5,4,3,4,6,7,Yes,12,Neutral,Yes,35 - 44,Prefer Not To Say,Aisyah
Inspirasi Hana sdn bhd,Boutique,8,4,3,4,6,7,Yes,12,Neutral,Yes,25 - 34,Prefer Not To Say,Aisyah
Keluarga Zah Enterprise ,Construction,1,4,4,4,5,7,Yes,12,Neutral,Yes,35 - 44,Prefer Not To Say,Aisyah
Mhar Ee Enterprise,Services,1,4,5,4,7,7,Yes,12,Neutral,Yes,25 - 34,Prefer Not To Say,Aisyah
KEREK STORE,Services,4,4,4,4,6,7,Yes,12,Neutral,Yes,25 - 34,Prefer Not To Say,Aisyah
YOURSTRULEYS NETWORK,Electronics ,5,4,5,4,9,7,Yes,12,Neutral,Yes,35 - 44,Prefer Not To Say,Aisyah
PERMATA SHAFINA ENTERPRISE,Wholesale and retail,10,4,5,3,1,4,No,24,Neutral,Yes,35 - 44,Female,Meryl
OMTERA (M) SDN BHD,Construction,4,4,5,1,6,7,No,4,Neutral,Yes,25 - 34,Male,Zakiyah
Classic Hairbond Studio & Barbershop,Barber,4,4,5,5,4,5,No,6,Neutral,Yes,25 - 34,Male,Zakiyah
UHB Travel & Tours,Travel,11,4,5,5,3,3,No,5,Neutral,Yes,25 - 34,Male,Zakiyah
Medicare Line Sdn Bhd,Healthcare,2,4,5,5,4,5,No,2,Neutral,Yes,35 - 44,Female,Zakiyah
Lands People & Coffee Company,Beverages,8,4,5,5,6,5,No,2,Neutral,Yes,35 - 44,Male,Zakiyah
Nest Corporate,wholesales ,10,4,5,5,3,3,No,3,Neutral,Yes,25 - 34,Female,Zakiyah
Shine Group Services Sdn Bhd,Services,2,4,4,4,3,5,No,2,Neutral,Yes,25 - 34,Female,Zakiyah
Equmed Sdn Bhd,IT,17,4,4,4,5,5,No,11,Positive,Yes,35 - 44,Male,Najiha
